# d32/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Chan010MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan010PadOn001,hardware-control,input pad relay
Chan011AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan011Color001,surface-state,strip colour on the surface
Chan011CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan011Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan011DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan011InsertOn001,hardware-control,analogue insert relay
Chan011Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan011MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan011PadOn001,hardware-control,input pad relay
Chan012AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan012Color001,surface-state,strip colour on the surface
Chan012CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan012Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan012DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan012InsertOn001,hardware-control,analogue insert relay
Chan012Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan012MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan012PadOn001,hardware-control,input pad relay
Chan013AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan013Color001,surface-state,strip colour on the surface
Chan013CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan013Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan013DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan013InsertOn001,hardware-control,analogue insert relay
Chan013Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan013MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan013PadOn001,hardware-control,input pad relay
Chan014AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan014Color001,surface-state,strip colour on the surface
Chan014CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan014Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan014DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan014InsertOn001,hardware-control,analogue insert relay
Chan014Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan014MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan014PadOn001,hardware-control,input pad relay
Chan015AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan015Color001,surface-state,strip colour on the surface
Chan015CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan015Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan015DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan015InsertOn001,hardware-control,analogue insert relay
Chan015Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan015MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan015Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan015PadOn001,hardware-control,input pad relay
Chan016AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan016Color001,surface-state,strip colour on the surface
Chan016CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan016Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan016DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan016InsertOn001,hardware-control,analogue insert relay
Chan016Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan016MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan016Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan016PadOn001,hardware-control,input pad relay
Chan017AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan017Color001,surface-state,strip colour on the surface
Chan017CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan017Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan017DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan017InsertOn001,hardware-control,analogue insert relay
Chan017Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan017MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan017Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan017PadOn001,hardware-control,input pad relay
Chan018AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan018Color001,surface-state,strip colour on the surface
Chan018CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan018Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan018DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan018InsertOn001,hardware-control,analogue insert relay
Chan018Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan018MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan018Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan018PadOn001,hardware-control,input pad relay
Chan019AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan019Color001,surface-state,strip colour on the surface
Chan019CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan019Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan019DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan019InsertOn001,hardware-control,analogue insert relay
Chan019Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan019MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan019Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan019PadOn001,hardware-control,input pad relay
Chan020AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan020Color001,surface-state,strip colour on the surface
Chan020CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan020Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan020DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan020InsertOn001,hardware-control,analogue insert relay
Chan020Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan020MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan020Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan020PadOn001,hardware-control,input pad relay
Chan021AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan021Color001,surface-state,strip colour on the surface
Chan021CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan021Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan021DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan021InsertOn001,hardware-control,analogue insert relay
Chan021Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan021MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan021Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan021PadOn001,hardware-control,input pad relay
Chan022AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan022Color001,surface-state,strip colour on the surface
Chan022CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan022Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan022DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan022InsertOn001,hardware-control,analogue insert relay
Chan022Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan022MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan022MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
