num,item,runner,automation,class,requires_fixture,requires_press,requires_meter,spec_section
154,J12 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
155,J13 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
156,J14 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
157,J23 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
158,J24 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
159,J33 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
160,J34 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
161,J43 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
162,J44 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
163,J56 (board header),no runner,4,board header,a DMM and the lid off,no,yes,
164,J1 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
165,J2 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
166,J3 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
167,J4 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
168,J6 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
169,J4 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
170,J5 (board header),no runner,4,board header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
171,J6 (board header),no runner,4,board header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
172,J7 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
173,J10 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
174,J14 (debug / test header),no runner,4,debug / test header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
175,J15 (debug / test header),no runner,4,debug / test header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
176,J19 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
177,J20 (board header),no runner,4,board header,a DMM and the lid off,no,yes,
178,J21 (board header),no runner,4,board header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
179,J22 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
180,J23 (debug / test header),no runner,4,debug / test header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
181,J24 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
182,J25 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
183,J26 (board header),no runner,4,board header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
184,J27 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
185,J30 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
186,J31 (power link / header),no runner,4,power link / header,a DMM and the lid off,no,yes,
187,J32 (debug / test header),no runner,4,debug / test header,a DMM and the lid off,no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
188,J35 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
189,J36 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
190,J37 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
191,J38 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
192,J39 (power link / header),no runner,—,power link / header,none: these rows are not scheduled,no,no,out of scope
